Date,Open,High,Low,Close,Volume,MA_7,MA_30,Year,Month,Daily Return
2025-07-28 15:30:00,1392.3,1407.8,1385.0,1387.6,7748361,,,2025,July,
2025-07-29 15:30:00,1383.0,1420.2,1383.0,1417.1,10750072,,,2025,July,0.021259729028538565
2025-07-30 15:30:00,1418.1,1423.3,1401.3,1410.1,7209849,,,2025,July,-0.004939665514078095
2025-07-31 15:30:00,1388.1,1402.6,1382.2,1390.2,17065827,,,2025,July,-0.014112474292603316
2025-08-01 15:30:00,1386.9,1405.9,1384.3,1393.7,10321171,,,2025,August,0.0025176233635448853
2025-08-04 15:30:00,1395.1,1416.1,1391.7,1411.5,6312820,,,2025,August,0.012771758628112195
2025-08-05 15:30:00,1411.0,1411.0,1388.1,1391.7,9315972,1400.2714285714285,,2025,August,-0.01402763018065889
2025-08-06 15:30:00,1391.9,1395.9,1383.3,1392.8,5834312,1401.0142857142855,,2025,August,0.0007904002299345958
2025-08-07 15:30:00,1387.7,1393.7,1366.0,1389.4,9976705,1397.0571428571432,,2025,August,-0.0024411257897758443
2025-08-08 15:30:00,1385.0,1397.2,1365.0,1367.8,8793606,1391.0142857142857,,2025,August,-0.015546278969339355
2025-08-11 15:30:00,1370.0,1388.0,1361.2,1386.2,9997486,1390.4428571428573,,2025,August,0.01345225910220793
2025-08-12 15:30:00,1381.9,1401.9,1375.2,1380.4,12244664,1388.5428571428572,,2025,August,-0.004184100418409997
2025-08-13 15:30:00,1388.0,1391.8,1377.5,1382.6,7457021,1384.4142857142856,,2025,August,0.0015937409446535877
2025-08-14 15:30:00,1377.3,1380.7,1370.1,1373.8,7126128,1381.857142857143,,2025,August,-0.006364819904527641
2025-08-18 15:30:00,1390.0,1394.9,1377.0,1381.7,11785109,1380.2714285714287,,2025,August,0.005750473140195167
2025-08-19 15:30:00,1390.0,1421.0,1389.1,1420.1,14384719,1384.6571428571426,,2025,August,0.02779185061880285
2025-08-20 15:30:00,1413.0,1424.9,1410.0,1413.0,8725641,1391.1142857142856,,2025,August,-0.004999647912118821
2025-08-21 15:30:00,1425.0,1431.9,1420.3,1424.8,11021323,1396.6285714285714,,2025,August,0.008351026185421162
2025-08-22 15:30:00,1420.0,1423.4,1407.9,1409.2,5818868,1400.7428571428572,,2025,August,-0.010948905109488982
2025-08-25 15:30:00,1414.7,1419.5,1405.7,1412.6,5979407,1405.0285714285712,,2025,August,0.002412716434856632
2025-08-26 15:30:00,1408.0,1410.0,1381.6,1384.9,12145259,1406.6142857142856,,2025,August,-0.019609231204870348
2025-08-28 15:30:00,1389.9,1392.2,1366.5,1385.9,13161813,1407.2142857142858,,2025,August,0.0007220737959419132
2025-08-29 15:30:00,1381.1,1403.5,1350.0,1357.2,18758842,1398.2285714285715,,2025,August,-0.020708564831517506
2025-09-01 15:30:00,1356.0,1363.2,1340.6,1353.9,11232238,1389.7857142857142,,2025,September,-0.0024314765694075646
2025-09-02 15:30:00,1354.8,1384.5,1354.5,1366.5,11517006,1381.457142857143,,2025,September,0.009306448038998383
2025-09-03 15:30:00,1369.7,1376.5,1360.5,1372.6,7847563,1376.2285714285713,,2025,September,0.0044639590193924494
2025-09-04 15:30:00,1371.8,1374.0,1357.1,1359.3,13223177,1368.6142857142859,,2025,September,-0.00968964009908202
2025-09-05 15:30:00,1363.0,1381.0,1359.3,1375.0,5777575,1367.2000000000003,,2025,September,0.011550062532185823
2025-09-08 15:30:00,1380.0,1386.0,1372.4,1378.5,6986720,1366.142857142857,,2025,September,0.0025454545454546285
2025-09-09 15:30:00,1376.6,1381.2,1368.7,1376.2,9754452,1368.857142857143,1388.21,2025,September,-0.0016684802321363934
2025-09-10 15:30:00,1383.9,1388.5,1374.1,1377.0,7790815,1372.1571428571426,1387.8566666666668,2025,September,0.0005813108559802327
2025-09-11 15:30:00,1376.0,1385.5,1375.0,1383.3,9766072,1374.5571428571427,1386.73,2025,September,0.004575163398692794
2025-09-12 15:30:00,1383.3,1396.3,1380.5,1395.0,7403368,1377.757142857143,1386.2266666666665,2025,September,0.008458035133376729
2025-09-15 15:30:00,1393.0,1400.8,1388.6,1399.3,5396697,1383.4714285714285,1386.53,2025,September,0.003082437275985672
2025-09-16 15:30:00,1404.7,1408.0,1398.2,1405.3,8686961,1387.7999999999997,1386.9166666666667,2025,September,0.004287858214821805
2025-09-17 15:30:00,1407.0,1416.2,1406.9,1413.8,7519417,1392.8428571428572,1386.9933333333333,2025,September,0.006048530562869248
2025-09-18 15:30:00,1420.4,1422.0,1410.7,1415.0,9332642,1398.3857142857144,1387.77,2025,September,0.0008487763474325227
2025-09-19 15:30:00,1414.9,1417.0,1403.6,1407.4,13461373,1402.7285714285715,1388.256666666667,2025,September,-0.005371024734982299
2025-09-22 15:30:00,1403.9,1410.7,1388.0,1390.6,7757970,1403.7714285714285,1388.2966666666666,2025,September,-0.011936904931078685
2025-09-23 15:30:00,1391.0,1395.0,1376.8,1389.8,14014702,1403.0285714285712,1389.03,2025,September,-0.0005752912411908229
2025-09-24 15:30:00,1385.3,1396.0,1380.4,1383.0,5922759,1400.7,1388.9233333333334,2025,September,-0.004892790329543817
2025-09-25 15:30:00,1381.3,1384.5,1369.0,1372.4,11411143,1396.0,1388.6566666666665,2025,September,-0.007664497469269671
2025-09-26 15:30:00,1372.0,1382.7,1366.0,1377.6,9879109,1390.8285714285714,1388.4900000000002,2025,September,0.0037889828038470963
2025-09-29 15:30:00,1381.6,1389.0,1368.0,1372.8,14231999,1384.8,1388.4566666666665,2025,September,-0.0034843205574912606
2025-09-30 15:30:00,1377.1,1377.1,1362.8,1364.0,14604684,1378.6000000000001,1387.8666666666666,2025,September,-0.0064102564102563875
2025-10-01 15:30:00,1367.0,1378.6,1362.7,1368.7,12045916,1375.4714285714285,1386.1533333333334,2025,October,0.003445747800586485
2025-10-03 15:30:00,1363.2,1371.6,1356.9,1363.4,12842347,1371.7000000000003,1384.5,2025,October,-0.003872287572148747
2025-10-06 15:30:00,1360.0,1377.4,1359.0,1375.0,12396580,1370.5571428571432,1382.84,2025,October,0.008508141411177839
2025-10-07 15:30:00,1376.0,1395.9,1375.9,1384.8,11244040,1372.3285714285714,1382.0266666666669,2025,October,0.007127272727272649
2025-10-08 15:30:00,1384.8,1389.0,1364.5,1367.4,8525081,1370.8714285714286,1380.52,2025,October,-0.012564991334488629
2025-10-09 15:30:00,1374.0,1380.0,1369.1,1377.8,8826633,1371.5857142857142,1380.2833333333333,2025,October,0.007605675003656387
2025-10-10 15:30:00,1377.8,1388.0,1375.1,1381.7,6373084,1374.1142857142856,1380.1433333333334,2025,October,0.0028305995064596967
2025-10-13 15:30:00,1376.9,1377.7,1367.8,1375.0,7600682,1375.0142857142857,1380.7366666666667,2025,October,-0.004849098936093199
2025-10-14 15:30:00,1380.0,1388.0,1370.1,1375.9,9768174,1376.8,1381.4700000000003,2025,October,0.0006545454545454632
2025-10-15 15:30:00,1383.0,1384.0,1372.7,1374.3,10882743,1376.7,1381.73,2025,October,-0.001162875208954195
2025-10-16 15:30:00,1375.1,1400.5,1375.0,1398.3,12315932,1378.6285714285714,1382.5866666666666,2025,October,0.01746343593101951
